latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.0,102.100006,186.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,2,32.1,22.1,27.0,35.4,25.2,29.8,2010-01-01T06:37,2010-01-01T17:52,0.00,0.00,0.00,0.0,7.6,27.0,103,17.64,4.03
2010-01-02,1,33.0,21.8,27.4,35.7,25.2,29.9,2010-01-02T06:37,2010-01-02T17:53,0.00,0.00,0.00,0.0,7.9,22.7,134,19.03,4.40
2010-01-03,1,32.0,21.3,26.8,35.3,23.5,29.2,2010-01-03T06:38,2010-01-03T17:53,0.00,0.00,0.00,0.0,10.1,25.9,59,17.97,4.25
2010-01-04,2,32.0,21.5,27.0,35.2,24.3,29.8,2010-01-04T06:38,2010-01-04T17:54,0.00,0.00,0.00,0.0,7.2,21.2,101,17.86,4.01
2010-01-05,2,32.0,22.9,27.8,36.1,26.7,31.2,2010-01-05T06:38,2010-01-05T17:55,0.00,0.00,0.00,0.0,7.4,16.9,160,16.52,3.71
2010-01-06,51,32.4,23.5,27.9,36.5,27.4,31.2,2010-01-06T06:38,2010-01-06T17:55,0.80,0.80,0.00,3.0,8.8,25.9,210,14.81,3.58
2010-01-07,3,30.0,23.5,26.6,32.6,27.2,29.6,2010-01-07T06:39,2010-01-07T17:56,0.00,0.00,0.00,0.0,10.1,29.2,16,11.79,2.96
2010-01-08,55,24.6,20.1,22.2,26.7,23.0,24.8,2010-01-08T06:39,2010-01-08T17:56,7.80,7.80,0.00,14.0,11.9,25.9,45,5.24,1.27
2010-01-09,3,28.6,18.0,23.2,31.0,20.0,25.4,2010-01-09T06:39,2010-01-09T17:57,0.00,0.00,0.00,0.0,9.2,25.6,74,15.70,3.30
2010-01-10,1,31.2,18.7,25.0,34.6,21.2,27.7,2010-01-10T06:39,2010-01-10T17:57,0.00,0.00,0.00,0.0,5.6,16.6,274,19.76,3.93
2010-01-11,2,32.1,19.4,25.7,34.9,21.7,28.2,2010-01-11T06:40,2010-01-11T17:58,0.00,0.00,0.00,0.0,7.0,15.1,254,18.67,3.80
2010-01-12,1,30.8,20.1,25.0,32.4,20.7,26.1,2010-01-12T06:40,2010-01-12T17:59,0.00,0.00,0.00,0.0,15.9,34.2,73,19.17,4.61
2010-01-13,2,28.0,17.3,22.5,28.2,15.9,22.2,2010-01-13T06:40,2010-01-13T17:59,0.00,0.00,0.00,0.0,15.9,36.7,65,19.45,4.57
2010-01-14,1,27.2,16.9,22.1,27.4,15.5,21.5,2010-01-14T06:40,2010-01-14T18:00,0.00,0.00,0.00,0.0,18.1,35.6,66,19.95,4.64
2010-01-15,1,28.7,17.1,22.9,30.0,17.5,23.5,2010-01-15T06:40,2010-01-15T18:00,0.00,0.00,0.00,0.0,11.5,28.1,49,19.36,4.23
2010-01-16,3,28.9,19.2,23.8,28.3,19.3,23.4,2010-01-16T06:40,2010-01-16T18:01,0.00,0.00,0.00,0.0,25.0,50.8,54,15.70,4.54
2010-01-17,2,28.5,17.9,22.9,28.1,17.5,22.2,2010-01-17T06:41,2010-01-17T18:01,0.00,0.00,0.00,0.0,18.8,38.5,56,20.33,5.10
2010-01-18,3,27.5,16.6,21.9,27.2,15.8,21.4,2010-01-18T06:41,2010-01-18T18:02,0.00,0.00,0.00,0.0,16.8,36.0,51,19.44,4.46
2010-01-19,2,28.6,16.6,22.8,29.2,16.9,23.2,2010-01-19T06:41,2010-01-19T18:03,0.00,0.00,0.00,0.0,12.2,30.2,44,19.78,4.39
2010-01-20,55,27.1,21.2,23.5,29.2,22.5,25.0,2010-01-20T06:41,2010-01-20T18:03,6.50,6.50,0.00,14.0,14.5,32.0,28,11.19,2.74
2010-01-21,63,22.2,20.6,21.5,26.5,22.8,24.4,2010-01-21T06:41,2010-01-21T18:04,30.90,30.90,0.00,23.0,11.6,26.6,28,1.34,0.44
2010-01-22,63,26.9,21.2,23.7,30.6,25.0,27.8,2010-01-22T06:41,2010-01-22T18:04,10.00,10.00,0.00,5.0,10.1,27.4,141,9.32,1.93
2010-01-23,63,28.2,20.9,23.8,32.5,24.6,28.1,2010-01-23T06:41,2010-01-23T18:05,14.20,14.20,0.00,14.0,7.3,23.0,51,10.81,2.18
2010-01-24,51,27.8,21.2,24.0,31.3,23.4,26.7,2010-01-24T06:41,2010-01-24T18:05,0.40,0.40,0.00,2.0,12.2,25.9,51,14.89,3.17
2010-01-25,1,28.9,20.3,24.5,32.3,23.0,27.1,2010-01-25T06:41,2010-01-25T18:06,0.00,0.00,0.00,0.0,10.7,28.4,47,17.80,3.77
2010-01-26,3,27.8,19.6,24.0,29.7,20.1,25.2,2010-01-26T06:41,2010-01-26T18:06,0.00,0.00,0.00,0.0,18.9,37.8,61,14.11,3.40
2010-01-27,1,28.8,19.5,24.2,32.1,20.7,26.3,2010-01-27T06:41,2010-01-27T18:07,0.00,0.00,0.00,0.0,10.2,23.4,62,19.73,4.14
2010-01-28,0,30.9,19.4,25.5,34.8,21.7,28.4,2010-01-28T06:41,2010-01-28T18:07,0.00,0.00,0.00,0.0,7.8,19.1,73,20.59,4.34
2010-01-29,0,31.6,20.0,26.4,35.6,22.8,29.5,2010-01-29T06:40,2010-01-29T18:08,0.00,0.00,0.00,0.0,8.6,14.8,118,19.80,4.34
2010-01-30,1,31.5,20.2,26.1,35.6,23.1,29.2,2010-01-30T06:40,2010-01-30T18:08,0.00,0.00,0.00,0.0,7.9,18.4,258,17.91,3.96
2010-01-31,1,31.8,22.1,26.8,35.9,26.0,30.7,2010-01-31T06:40,2010-01-31T18:09,0.00,0.00,0.00,0.0,10.1,23.0,263,18.79,4.06
2010-02-01,51,32.0,22.8,27.3,36.3,26.8,31.2,2010-02-01T06:40,2010-02-01T18:09,0.10,0.10,0.00,1.0,10.0,23.4,240,18.20,4.03
2010-02-02,51,31.6,22.4,27.0,35.6,26.6,31.2,2010-02-02T06:40,2010-02-02T18:10,0.30,0.30,0.00,2.0,9.5,19.1,250,17.63,3.81
2010-02-03,51,32.4,22.8,27.4,38.2,26.9,31.8,2010-02-03T06:39,2010-02-03T18:10,0.60,0.60,0.00,4.0,8.5,18.4,237,19.28,4.18
2010-02-04,51,32.8,22.6,27.2,37.2,27.2,31.8,2010-02-04T06:39,2010-02-04T18:11,0.50,0.50,0.00,3.0,10.6,21.6,230,18.34,4.04
2010-02-05,51,32.3,23.2,27.4,36.9,27.7,31.9,2010-02-05T06:39,2010-02-05T18:11,0.20,0.20,0.00,1.0,7.3,19.1,226,18.69,4.14
2010-02-06,51,31.7,23.4,27.5,36.1,27.6,31.3,2010-02-06T06:39,2010-02-06T18:11,0.10,0.10,0.00,1.0,8.2,20.5,216,17.58,4.02
2010-02-07,51,32.3,23.8,27.5,37.8,28.4,31.8,2010-02-07T06:38,2010-02-07T18:12,0.30,0.30,0.00,2.0,6.6,21.6,199,17.76,3.88
2010-02-08,1,32.3,23.4,27.7,37.3,27.8,31.8,2010-02-08T06:38,2010-02-08T18:12,0.00,0.00,0.00,0.0,7.9,18.4,226,18.64,4.15
2010-02-09,1,32.8,22.4,27.9,37.6,26.7,31.8,2010-02-09T06:38,2010-02-09T18:13,0.00,0.00,0.00,0.0,6.9,18.0,241,19.69,4.38
2010-02-10,1,34.0,22.3,28.5,38.2,26.3,31.9,2010-02-10T06:37,2010-02-10T18:13,0.00,0.00,0.00,0.0,7.8,19.8,234,21.14,4.93
2010-02-11,1,34.1,23.0,28.9,39.1,27.4,32.7,2010-02-11T06:37,2010-02-11T18:13,0.00,0.00,0.00,0.0,7.3,20.5,252,21.18,4.87
2010-02-12,1,35.1,23.1,29.4,38.9,27.2,32.7,2010-02-12T06:37,2010-02-12T18:14,0.00,0.00,0.00,0.0,8.2,22.7,274,21.53,5.05
2010-02-13,51,33.1,24.4,28.4,37.8,28.3,32.3,2010-02-13T06:36,2010-02-13T18:14,0.20,0.20,0.00,2.0,7.1,21.2,242,18.62,4.25
2010-02-14,1,33.2,24.0,28.6,37.9,28.8,32.4,2010-02-14T06:36,2010-02-14T18:15,0.00,0.00,0.00,0.0,7.9,24.1,232,18.67,4.47
2010-02-15,1,34.6,24.0,29.2,38.4,28.0,32.6,2010-02-15T06:36,2010-02-15T18:15,0.00,0.00,0.00,0.0,7.5,22.0,221,19.56,4.64
2010-02-16,51,33.7,24.3,29.0,37.3,28.6,32.7,2010-02-16T06:35,2010-02-16T18:15,0.30,0.30,0.00,2.0,8.6,27.0,145,17.18,4.12
2010-02-17,51,32.2,23.9,27.7,36.0,25.9,30.8,2010-02-17T06:35,2010-02-17T18:16,0.40,0.40,0.00,3.0,10.1,29.2,78,17.50,4.03
2010-02-18,1,32.1,21.5,26.9,34.5,21.2,28.2,2010-02-18T06:34,2010-02-18T18:16,0.00,0.00,0.00,0.0,13.7,30.6,69,21.60,5.38
2010-02-19,2,30.6,19.9,25.4,31.9,18.9,25.8,2010-02-19T06:34,2010-02-19T18:16,0.00,0.00,0.00,0.0,14.0,31.3,64,20.90,5.34
2010-02-20,3,29.1,20.5,24.7,31.0,19.8,25.5,2010-02-20T06:33,2010-02-20T18:16,0.00,0.00,0.00,0.0,10.6,25.6,87,15.83,3.98
2010-02-21,51,32.8,21.5,26.4,37.5,24.7,29.9,2010-02-21T06:33,2010-02-21T18:17,0.80,0.80,0.00,2.0,13.3,28.1,201,18.98,4.33
2010-02-22,2,33.0,22.4,27.7,36.4,26.4,30.9,2010-02-22T06:32,2010-02-22T18:17,0.00,0.00,0.00,0.0,9.8,21.6,218,19.65,4.63
2010-02-23,51,33.5,23.7,28.3,36.3,28.3,31.6,2010-02-23T06:32,2010-02-23T18:17,0.10,0.10,0.00,1.0,12.3,24.1,219,19.61,4.86
2010-02-24,1,33.6,23.2,28.2,34.8,26.6,30.4,2010-02-24T06:31,2010-02-24T18:18,0.00,0.00,0.00,0.0,17.1,38.5,228,20.21,5.41
2010-02-25,1,35.1,23.7,28.9,36.7,26.9,30.7,2010-02-25T06:31,2010-02-25T18:18,0.00,0.00,0.00,0.0,15.2,34.2,232,23.05,6.14
2010-02-26,1,35.6,21.9,28.6,37.6,24.6,30.4,2010-02-26T06:30,2010-02-26T18:18,0.00,0.00,0.00,0.0,8.7,25.9,235,23.71,5.89
2010-02-27,0,36.1,22.5,29.4,39.0,25.5,31.4,2010-02-27T06:29,2010-02-27T18:18,0.00,0.00,0.00,0.0,11.6,22.3,214,24.22,6.21
2010-02-28,0,36.0,23.4,29.5,38.0,27.1,32.0,2010-02-28T06:29,2010-02-28T18:18,0.00,0.00,0.00,0.0,13.2,29.2,218,22.46,5.92
2010-03-01,1,35.6,23.9,29.7,37.4,27.8,32.0,2010-03-01T06:28,2010-03-01T18:19,0.00,0.00,0.00,0.0,12.0,29.2,223,21.83,5.83
2010-03-02,2,34.5,23.5,29.4,38.1,27.4,32.6,2010-03-02T06:28,2010-03-02T18:19,0.00,0.00,0.00,0.0,12.1,30.6,228,20.33,5.30
2010-03-03,1,36.6,23.6,30.3,38.3,27.5,32.7,2010-03-03T06:27,2010-03-03T18:19,0.00,0.00,0.00,0.0,16.1,34.2,223,21.34,6.02
2010-03-04,1,36.9,23.2,30.0,38.4,25.4,31.6,2010-03-04T06:26,2010-03-04T18:19,0.00,0.00,0.00,0.0,16.2,34.9,233,24.49,6.72
2010-03-05,1,36.6,21.8,29.2,37.3,25.0,30.5,2010-03-05T06:26,2010-03-05T18:20,0.00,0.00,0.00,0.0,16.3,35.3,241,25.16,6.82
2010-03-06,1,36.6,21.4,29.2,38.6,22.7,30.3,2010-03-06T06:25,2010-03-06T18:20,0.00,0.00,0.00,0.0,11.9,29.2,237,25.17,6.69
2010-03-07,0,37.3,22.4,30.3,40.7,24.7,32.3,2010-03-07T06:24,2010-03-07T18:20,0.00,0.00,0.00,0.0,11.6,20.9,227,24.91,6.37
2010-03-08,0,37.3,23.8,30.8,40.9,27.6,33.2,2010-03-08T06:24,2010-03-08T18:20,0.00,0.00,0.00,0.0,12.8,25.2,218,24.86,6.60
2010-03-09,2,36.7,23.7,30.1,40.1,21.1,32.1,2010-03-09T06:23,2010-03-09T18:20,0.00,0.00,0.00,0.0,24.4,53.6,96,22.42,6.27
2010-03-10,3,26.0,18.6,22.2,25.0,15.9,20.1,2010-03-10T06:22,2010-03-10T18:20,0.00,0.00,0.00,0.0,22.4,46.8,63,17.04,5.26
2010-03-11,1,30.7,19.0,24.7,31.9,17.1,24.4,2010-03-11T06:22,2010-03-11T18:21,0.00,0.00,0.00,0.0,14.3,32.4,64,24.45,6.05
2010-03-12,1,34.6,21.2,27.9,38.8,22.1,29.9,2010-03-12T06:21,2010-03-12T18:21,0.00,0.00,0.00,0.0,8.0,16.9,119,25.22,5.65
2010-03-13,1,36.3,23.3,29.9,39.2,25.6,31.8,2010-03-13T06:20,2010-03-13T18:21,0.00,0.00,0.00,0.0,11.1,27.0,221,23.93,6.36
2010-03-14,0,36.7,23.6,30.2,39.0,26.0,32.0,2010-03-14T06:20,2010-03-14T18:21,0.00,0.00,0.00,0.0,12.2,30.6,221,25.65,6.87
2010-03-15,1,37.0,23.6,30.6,40.2,27.3,33.0,2010-03-15T06:19,2010-03-15T18:21,0.00,0.00,0.00,0.0,9.9,23.0,240,25.69,6.23
2010-03-16,1,37.8,26.4,31.5,40.0,29.4,33.9,2010-03-16T06:18,2010-03-16T18:21,0.00,0.00,0.00,0.0,13.3,29.9,89,21.86,6.01
2010-03-17,51,34.4,24.0,29.4,37.2,24.9,31.1,2010-03-17T06:18,2010-03-17T18:21,0.10,0.10,0.00,1.0,14.1,31.0,59,21.90,6.07
2010-03-18,1,33.9,23.5,28.8,35.7,24.0,29.8,2010-03-18T06:17,2010-03-18T18:22,0.00,0.00,0.00,0.0,18.5,37.4,57,24.79,6.73
2010-03-19,1,34.1,22.6,28.5,37.9,23.1,29.8,2010-03-19T06:16,2010-03-19T18:22,0.00,0.00,0.00,0.0,10.8,25.6,72,25.95,6.07
2010-03-20,1,36.6,21.9,29.7,39.9,24.4,31.7,2010-03-20T06:15,2010-03-20T18:22,0.00,0.00,0.00,0.0,7.5,18.4,237,25.70,5.87
2010-03-21,51,34.5,25.3,29.7,37.9,28.1,32.6,2010-03-21T06:15,2010-03-21T18:22,0.10,0.10,0.00,1.0,8.9,23.4,240,19.80,4.88
2010-03-22,51,35.5,25.7,29.9,40.3,29.7,33.5,2010-03-22T06:14,2010-03-22T18:22,0.20,0.20,0.00,1.0,10.6,28.8,223,22.25,5.49
2010-03-23,1,35.8,25.1,30.2,40.0,29.5,33.6,2010-03-23T06:13,2010-03-23T18:22,0.00,0.00,0.00,0.0,11.3,24.5,222,23.11,5.81
2010-03-24,1,36.0,25.1,30.5,39.0,29.0,33.3,2010-03-24T06:13,2010-03-24T18:22,0.00,0.00,0.00,0.0,12.4,29.2,232,22.85,6.08
2010-03-25,1,37.2,25.1,31.1,40.7,25.2,33.9,2010-03-25T06:12,2010-03-25T18:22,0.00,0.00,0.00,0.0,20.3,49.0,158,22.73,5.77
2010-03-26,63,28.7,19.8,22.5,28.8,18.3,22.6,2010-03-26T06:11,2010-03-26T18:23,14.70,14.70,0.00,12.0,21.0,47.9,71,15.61,4.17
2010-03-27,3,30.1,21.2,24.9,31.7,22.1,26.1,2010-03-27T06:10,2010-03-27T18:23,0.00,0.00,0.00,0.0,10.9,22.3,50,11.58,3.15
2010-03-28,1,32.8,22.2,27.1,35.7,22.5,28.4,2010-03-28T06:10,2010-03-28T18:23,0.00,0.00,0.00,0.0,14.2,30.6,57,23.30,5.78
2010-03-29,1,33.2,23.0,27.9,37.0,24.4,30.3,2010-03-29T06:09,2010-03-29T18:23,0.00,0.00,0.00,0.0,14.0,28.1,61,25.17,5.80
2010-03-30,51,34.3,23.5,28.5,40.1,26.7,32.4,2010-03-30T06:08,2010-03-30T18:23,0.50,0.50,0.00,2.0,9.9,23.8,241,23.26,5.23
2010-03-31,1,34.7,24.2,29.2,39.1,29.0,33.1,2010-03-31T06:08,2010-03-31T18:23,0.00,0.00,0.00,0.0,11.9,27.4,230,22.90,5.56
2010-04-01,1,35.0,24.2,29.7,40.2,29.0,33.7,2010-04-01T06:07,2010-04-01T18:23,0.00,0.00,0.00,0.0,8.4,19.8,214,23.01,5.40
2010-04-02,51,36.6,24.7,30.7,41.7,29.4,34.8,2010-04-02T06:06,2010-04-02T18:24,0.10,0.10,0.00,1.0,9.0,19.4,214,24.42,5.86
2010-04-03,61,36.4,26.2,30.3,41.3,31.0,35.0,2010-04-03T06:05,2010-04-03T18:24,2.50,2.50,0.00,2.0,8.4,29.2,196,20.87,4.92
2010-04-04,51,36.1,26.4,30.8,42.2,32.0,35.6,2010-04-04T06:05,2010-04-04T18:24,0.10,0.10,0.00,1.0,11.1,24.1,212,20.98,5.19
2010-04-05,51,37.3,26.4,31.7,43.2,31.1,36.0,2010-04-05T06:04,2010-04-05T18:24,0.10,0.10,0.00,1.0,12.0,25.6,223,24.11,6.13
2010-04-06,51,37.8,27.1,32.2,43.0,31.3,36.2,2010-04-06T06:03,2010-04-06T18:24,0.10,0.10,0.00,1.0,11.4,29.5,218,25.34,6.58
2010-04-07,51,37.8,27.1,32.3,43.7,32.1,36.6,2010-04-07T06:03,2010-04-07T18:24,0.10,0.10,0.00,1.0,10.4,26.6,226,23.89,6.11
2010-04-08,51,37.7,27.2,32.0,43.8,31.8,36.6,2010-04-08T06:02,2010-04-08T18:24,1.00,1.00,0.00,4.0,11.3,21.2,213,23.90,5.89
2010-04-09,51,37.6,27.1,31.7,41.5,31.1,35.3,2010-04-09T06:01,2010-04-09T18:24,0.40,0.40,0.00,2.0,13.8,31.0,217,22.99,6.46
2010-04-10,51,37.2,26.1,31.2,41.2,28.8,34.2,2010-04-10T06:00,2010-04-10T18:24,0.20,0.20,0.00,1.0,14.6,34.9,212,23.43,6.58
2010-04-11,1,37.7,24.8,31.3,40.7,28.5,34.1,2010-04-11T06:00,2010-04-11T18:25,0.00,0.00,0.00,0.0,13.9,31.0,226,25.80,7.10
2010-04-12,1,38.0,25.2,31.4,40.3,29.0,34.1,2010-04-12T05:59,2010-04-12T18:25,0.00,0.00,0.00,0.0,16.0,34.2,222,26.19,7.35
2010-04-13,1,38.1,24.8,31.6,41.6,29.2,34.5,2010-04-13T05:58,2010-04-13T18:25,0.00,0.00,0.00,0.0,11.5,29.2,223,26.48,7.02
2010-04-14,2,38.0,25.3,32.2,41.6,29.6,35.3,2010-04-14T05:58,2010-04-14T18:25,0.00,0.00,0.00,0.0,11.6,27.4,216,24.73,6.62
2010-04-15,51,37.9,27.6,32.4,42.5,31.5,36.2,2010-04-15T05:57,2010-04-15T18:25,0.60,0.60,0.00,2.0,11.1,33.8,218,22.40,5.79
2010-04-16,63,33.7,25.4,28.2,38.5,30.3,33.1,2010-04-16T05:57,2010-04-16T18:25,14.90,14.90,0.00,13.0,12.0,34.2,108,13.54,3.24
2010-04-17,63,31.6,24.0,26.6,37.8,29.0,31.8,2010-04-17T05:56,2010-04-17T18:26,11.40,11.40,0.00,11.0,13.5,27.7,133,16.30,3.50
2010-04-18,53,33.6,24.0,28.5,39.8,29.4,33.7,2010-04-18T05:55,2010-04-18T18:26,0.60,0.60,0.00,1.0,9.9,23.8,200,24.59,5.47
2010-04-19,1,35.1,24.5,29.8,39.7,29.3,33.8,2010-04-19T05:55,2010-04-19T18:26,0.00,0.00,0.00,0.0,11.8,29.2,219,25.46,6.18
2010-04-20,0,36.1,25.3,30.4,40.9,29.8,34.2,2010-04-20T05:54,2010-04-20T18:26,0.00,0.00,0.00,0.0,13.2,29.5,211,25.97,6.51
2010-04-21,1,36.5,25.3,31.0,41.5,29.7,35.0,2010-04-21T05:54,2010-04-21T18:26,0.00,0.00,0.00,0.0,12.5,29.5,215,25.76,6.56
2010-04-22,0,37.4,26.3,31.9,41.9,31.0,35.6,2010-04-22T05:53,2010-04-22T18:26,0.00,0.00,0.00,0.0,11.6,30.2,219,25.53,6.71
2010-04-23,61,37.8,25.9,30.8,43.2,30.9,35.3,2010-04-23T05:52,2010-04-23T18:27,4.70,4.70,0.00,7.0,13.2,24.1,141,23.70,5.76
2010-04-24,55,33.6,25.2,28.5,39.4,28.7,32.6,2010-04-24T05:52,2010-04-24T18:27,1.40,1.40,0.00,2.0,12.2,24.8,94,20.03,4.65
2010-04-25,51,34.9,25.1,29.6,40.6,30.8,34.8,2010-04-25T05:51,2010-04-25T18:27,0.90,0.90,0.00,3.0,9.2,27.0,130,22.80,5.12
2010-04-26,61,34.3,25.4,29.3,40.9,31.2,34.9,2010-04-26T05:51,2010-04-26T18:27,3.80,3.80,0.00,4.0,9.0,22.3,304,19.87,4.49
2010-04-27,61,32.4,24.4,27.0,38.5,29.5,32.4,2010-04-27T05:50,2010-04-27T18:27,15.90,15.90,0.00,11.0,9.4,25.9,105,14.68,3.20
2010-04-28,61,33.2,24.6,28.3,39.6,30.1,33.8,2010-04-28T05:50,2010-04-28T18:28,3.10,3.10,0.00,7.0,12.2,22.0,239,21.39,4.67
2010-04-29,51,34.4,24.6,29.2,41.1,30.5,34.5,2010-04-29T05:49,2010-04-29T18:28,0.60,0.60,0.00,3.0,13.6,23.8,208,23.08,5.30
2010-04-30,51,34.7,25.4,29.9,41.1,31.1,35.4,2010-04-30T05:49,2010-04-30T18:28,0.10,0.10,0.00,1.0,6.6,21.6,148,24.35,5.42
2010-05-01,63,33.0,25.0,28.0,39.4,30.0,33.2,2010-05-01T05:48,2010-05-01T18:28,7.90,7.90,0.00,12.0,10.0,23.4,53,19.68,4.29
2010-05-02,51,33.6,25.0,29.1,39.3,30.6,34.6,2010-05-02T05:48,2010-05-02T18:29,0.10,0.10,0.00,1.0,5.9,15.1,193,20.60,4.52
2010-05-03,63,31.9,26.0,28.1,37.8,32.0,33.9,2010-05-03T05:47,2010-05-03T18:29,15.10,15.10,0.00,12.0,7.2,21.6,232,16.87,3.64
2010-05-04,2,34.0,25.1,29.3,40.1,31.3,34.5,2010-05-04T05:47,2010-05-04T18:29,0.00,0.00,0.00,0.0,10.5,24.8,221,22.04,5.13
2010-05-05,55,35.1,26.0,29.8,40.6,31.0,34.9,2010-05-05T05:46,2010-05-05T18:29,1.40,1.40,0.00,2.0,11.8,27.4,210,22.77,5.40
2010-05-06,51,36.1,26.5,30.7,41.6,31.5,35.8,2010-05-06T05:46,2010-05-06T18:30,0.80,0.80,0.00,3.0,9.1,24.8,221,23.78,5.70
2010-05-07,51,36.6,26.5,31.5,43.2,32.3,36.7,2010-05-07T05:46,2010-05-07T18:30,0.20,0.20,0.00,1.0,9.1,26.3,219,24.44,5.97
2010-05-08,1,36.9,27.0,32.1,43.1,32.8,37.0,2010-05-08T05:45,2010-05-08T18:30,0.00,0.00,0.00,0.0,11.2,26.3,231,24.78,6.34
2010-05-09,1,37.2,27.7,32.4,43.6,33.5,37.2,2010-05-09T05:45,2010-05-09T18:30,0.00,0.00,0.00,0.0,12.1,28.4,222,22.08,5.97
2010-05-10,55,37.2,28.0,31.4,43.1,33.0,36.5,2010-05-10T05:44,2010-05-10T18:31,1.60,1.60,0.00,2.0,12.5,31.0,201,23.64,6.02
2010-05-11,63,34.3,24.8,29.0,40.9,29.8,34.7,2010-05-11T05:44,2010-05-11T18:31,12.50,12.50,0.00,5.0,9.6,24.1,106,21.64,4.86
2010-05-12,61,34.4,25.8,28.7,41.1,32.3,35.0,2010-05-12T05:44,2010-05-12T18:31,4.90,4.90,0.00,7.0,12.3,26.6,199,20.13,4.42
2010-05-13,51,35.1,25.6,30.2,41.7,31.8,35.9,2010-05-13T05:43,2010-05-13T18:31,0.40,0.40,0.00,2.0,7.6,21.2,238,24.60,5.58
2010-05-14,1,36.2,26.1,31.3,42.2,31.8,36.4,2010-05-14T05:43,2010-05-14T18:32,0.00,0.00,0.00,0.0,6.9,20.9,230,24.52,5.75
2010-05-15,51,36.5,27.1,31.5,43.2,33.0,36.9,2010-05-15T05:43,2010-05-15T18:32,0.50,0.50,0.00,2.0,11.2,24.1,206,23.53,5.70
2010-05-16,53,35.3,26.9,30.6,41.6,33.8,36.7,2010-05-16T05:43,2010-05-16T18:32,1.80,1.80,0.00,5.0,8.7,26.6,136,20.84,4.74
2010-05-17,61,34.3,26.9,29.8,42.7,33.3,36.0,2010-05-17T05:42,2010-05-17T18:33,3.10,3.10,0.00,5.0,7.7,20.5,235,20.10,4.49
2010-05-18,61,35.4,26.2,30.0,40.6,32.2,35.5,2010-05-18T05:42,2010-05-18T18:33,3.80,3.80,0.00,11.0,14.1,30.2,268,20.81,4.86
2010-05-19,51,36.3,25.9,30.7,42.9,31.9,36.0,2010-05-19T05:42,2010-05-19T18:33,0.30,0.30,0.00,1.0,9.7,25.2,205,24.49,5.69
2010-05-20,3,36.3,27.0,31.3,42.4,32.5,36.2,2010-05-20T05:42,2010-05-20T18:34,0.00,0.00,0.00,0.0,9.3,31.7,220,23.64,5.85
2010-05-21,53,36.8,27.7,31.5,40.6,33.1,35.7,2010-05-21T05:41,2010-05-21T18:34,0.70,0.70,0.00,1.0,15.1,37.4,220,23.37,6.13
2010-05-22,63,36.5,27.2,30.7,42.4,31.7,35.2,2010-05-22T05:41,2010-05-22T18:34,3.20,3.20,0.00,2.0,14.6,33.8,228,21.71,5.68
2010-05-23,53,35.1,27.2,30.4,39.6,31.2,34.3,2010-05-23T05:41,2010-05-23T18:35,1.60,1.60,0.00,4.0,14.5,36.7,251,20.86,5.54
2010-05-24,51,35.3,27.2,30.3,40.3,31.3,34.5,2010-05-24T05:41,2010-05-24T18:35,0.10,0.10,0.00,1.0,11.8,28.4,234,18.62,5.02
2010-05-25,61,33.4,27.1,29.2,36.2,31.3,33.4,2010-05-25T05:41,2010-05-25T18:35,5.30,5.30,0.00,9.0,14.4,34.2,228,12.39,3.60
2010-05-26,61,33.0,25.5,28.3,36.2,30.1,31.9,2010-05-26T05:41,2010-05-26T18:35,5.60,5.60,0.00,8.0,17.4,49.0,218,16.75,4.43
2010-05-27,51,34.9,26.4,29.6,39.1,29.9,33.2,2010-05-27T05:41,2010-05-27T18:36,0.30,0.30,0.00,3.0,17.1,40.3,216,21.57,5.76
2010-05-28,61,35.2,26.2,29.2,39.0,29.9,33.2,2010-05-28T05:40,2010-05-28T18:36,1.80,1.80,0.00,3.0,17.6,44.3,206,20.71,5.28
2010-05-29,63,34.0,26.5,28.9,39.2,31.0,33.1,2010-05-29T05:40,2010-05-29T18:36,10.90,10.90,0.00,5.0,17.4,38.2,209,17.43,4.49
2010-05-30,51,35.5,25.9,30.2,40.4,30.8,34.5,2010-05-30T05:40,2010-05-30T18:37,0.20,0.20,0.00,1.0,16.0,39.2,216,23.98,6.08
2010-05-31,51,35.8,26.2,30.7,40.9,30.8,34.9,2010-05-31T05:40,2010-05-31T18:37,0.10,0.10,0.00,1.0,14.3,36.4,226,24.57,6.36
2010-06-01,1,36.7,26.8,31.4,39.9,31.1,34.7,2010-06-01T05:40,2010-06-01T18:37,0.00,0.00,0.00,0.0,17.2,42.5,238,25.31,7.08
2010-06-02,51,37.4,27.6,31.7,40.8,31.6,35.0,2010-06-02T05:40,2010-06-02T18:38,0.30,0.30,0.00,1.0,18.1,37.4,237,23.99,6.89
2010-06-03,63,35.3,25.9,29.3,41.0,31.3,34.5,2010-06-03T05:40,2010-06-03T18:38,8.20,8.20,0.00,7.0,11.0,23.8,149,14.64,3.48
